,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,busselton,89,AU,1570315431,71,-33.64,115.35,52.0,6.33
1,punta arenas,75,CL,1570315431,65,-53.16,-70.91,46.4,10.29
2,chapais,1,CA,1570315431,57,49.78,-74.86,48.2,3.36
3,albany,20,US,1570315432,70,42.65,-73.75,55.4,4.7
4,hermanus,65,ZA,1570315432,92,-34.42,19.24,57.0,11.72
5,rizhao,97,CN,1570315432,54,35.43,119.46,53.84,6.13
6,geraldton,90,CA,1570315433,75,49.72,-86.95,46.4,13.87
7,saint john,5,CA,1570315433,57,45.28,-66.06,50.0,5.82
8,provideniya,100,RU,1570315433,92,64.42,-173.23,31.2,6.58
9,rikitea,100,PF,1570315433,79,-23.12,-134.97,71.19,20.94
10,ushuaia,0,AR,1570315230,65,-54.81,-68.31,41.0,17.22
11,bonthe,100,SL,1570315434,89,7.53,-12.5,77.49,5.93
12,puerto ayora,0,EC,1570315434,64,-0.74,-90.35,75.2,21.92
13,mataura,90,NZ,1570315217,71,-46.19,168.86,52.0,3.0
14,buala,4,SB,1570315434,68,-8.15,159.59,84.04,3.51
15,cabra,53,ES,1570315435,56,37.47,-4.43,70.0,0.47
16,saskylakh,60,RU,1570315435,92,71.97,114.09,13.68,3.36
17,severo-kurilsk,100,RU,1570315435,93,50.68,156.12,42.81,29.28
18,cobija,75,BR,1570315435,94,-11.02,-68.77,75.2,6.93
19,pacific grove,1,US,1570315436,23,36.62,-121.92,86.0,9.17
20,portland,1,US,1570315198,54,43.66,-70.25,53.6,6.93
21,desaguadero,88,PE,1570315436,77,-16.56,-69.04,39.87,6.69
22,matay,0,EG,1570315436,57,28.42,30.79,70.72,10.51
23,bambous virieux,40,MU,1570315437,94,-20.34,57.76,72.0,5.82
24,bredasdorp,38,ZA,1570315437,72,-34.53,20.04,60.8,1.12
25,klaksvik,94,FO,1570315437,81,62.23,-6.59,50.0,34.45
26,haines junction,95,CA,1570315438,85,60.75,-137.51,32.91,4.12
27,kidal,100,ML,1570315438,26,18.44,1.41,90.4,9.08
28,astoria,75,US,1570315438,72,46.19,-123.83,62.6,6.93
29,tiksi,99,RU,1570315439,92,71.64,128.87,18.43,4.83
30,vidisha,100,IN,1570315439,83,23.52,77.8,73.39,2.19
31,kailua,75,US,1570315439,65,21.39,-157.74,87.8,9.17
32,mahebourg,40,MU,1570315439,94,-20.41,57.7,72.0,5.82
33,cape town,0,ZA,1570315274,72,-33.93,18.42,59.0,4.7
34,rawson,84,AR,1570315440,35,-43.3,-65.11,55.06,9.73
35,ranot,100,TH,1570315440,84,7.78,100.32,76.74,4.7
36,bluff,0,AU,1570315440,40,-23.58,149.07,77.1,2.91
37,castro,90,CL,1570315440,71,-42.48,-73.76,50.0,8.05
38,georgetown,75,GY,1570315441,78,6.8,-58.16,82.4,6.93
39,guerrero negro,0,MX,1570315441,71,27.97,-114.04,70.29,13.47
40,talnakh,90,RU,1570315441,95,69.49,88.39,32.0,6.71
41,atuona,14,PF,1570315442,73,-9.8,-139.03,80.35,17.78
42,carnarvon,0,ZA,1570315442,11,-30.97,22.13,64.01,8.25
43,acari,42,BR,1570315442,68,-6.44,-36.64,75.1,25.05
44,hobart,75,AU,1570315423,71,-42.88,147.33,55.99,2.24
45,cayenne,0,GF,1570315443,88,4.94,-52.33,78.8,2.24
46,baykit,96,RU,1570315443,89,61.68,96.39,27.33,8.7
47,shelburne,1,CA,1570315443,62,44.08,-80.2,53.6,11.41
48,tomatlan,29,MX,1570315444,80,19.93,-105.25,82.39,10.36
49,jamestown,0,AU,1570315213,51,-33.21,138.6,65.94,16.11
50,port-gentil,75,GA,1570315444,88,-0.72,8.78,78.8,12.75
51,thunder bay,90,CA,1570315290,93,48.41,-89.26,48.99,12.75
52,rovnoye,100,RU,1570315445,49,50.78,46.06,58.93,14.2
53,bluefield,90,US,1570315445,62,37.27,-81.22,60.8,8.05
54,sumbe,100,AO,1570315445,96,-11.2,13.84,71.55,6.22
55,angoram,92,PG,1570315446,76,-4.06,144.07,82.24,3.87
56,arraial do cabo,0,BR,1570315446,78,-22.97,-42.02,72.94,19.35
57,sitges,40,ES,1570315446,88,41.24,1.82,70.0,3.11
58,pierre,20,US,1570315446,38,44.37,-100.35,62.01,21.92
59,iqaluit,75,CA,1570315446,74,63.75,-68.52,33.8,8.05
60,vaini,90,IN,1570315447,94,15.34,74.49,73.86,1.66
61,yar-sale,100,RU,1570315447,97,66.83,70.83,37.91,16.71
62,port alfred,0,ZA,1570315447,94,-33.59,26.89,61.0,3.06
63,dikson,8,RU,1570315447,73,73.51,80.55,22.88,13.18
64,gat,20,SN,1570315448,88,14.69,-16.54,78.8,5.82
65,constitucion,75,MX,1570315448,29,23.99,-104.67,78.01,6.93
66,kavieng,14,PG,1570315448,68,-2.57,150.8,83.92,6.02
67,manokwari,96,ID,1570315372,69,-0.87,134.08,79.2,2.71
68,nanuque,31,BR,1570315448,86,-17.84,-40.35,69.55,7.76
69,thompson,90,CA,1570315449,87,55.74,-97.86,44.6,2.24
70,yokadouma,6,CM,1570315449,97,3.52,15.05,68.31,1.32
